ID,conf90,conf95,conf99,numberCys,numberCysCys,pattern1,pattern2,pattern3,pattern4,pattern5
g279.t1,1,1,1,1,0,0,1,1,0,1
g280.t1,1,1,1,0,0,0,1,1,0,1
g281.t1,0,0,0,1,1,1,1,1,0,1
g282.t1,1,1,1,1,1,0,1,1,0,1
g283.t1,1,1,1,1,0,0,1,1,0,1
g284.t1,1,1,1,0,0,0,1,1,0,1
g285.t1,1,1,1,0,0,1,1,1,1,1
g286.t1,1,1,1,1,1,0,1,1,0,1
g287.t1,1,1,1,0,0,0,1,1,0,1
g288.t1,1,1,1,1,0,0,1,1,1,1
g289.t1,1,1,1,1,0,0,1,1,1,1
g290.t1,1,1,1,0,0,0,1,1,0,1
g291.t1,1,1,1,1,0,0,1,1,1,1
g292.t1,1,1,1,1,1,0,1,1,0,1
g293.t1,1,1,1,1,1,0,1,1,0,1
g294.t1,1,1,1,1,0,1,1,1,1,1
g295.t1,1,1,1,0,0,0,1,1,0,1
g296.t1,1,1,1,0,0,0,1,1,0,1
g297.t1,1,1,1,1,0,0,1,1,0,1
g298.t1,1,1,1,0,0,0,1,1,0,1
g299.t1,1,1,1,1,1,0,1,0,0,1
g300.t1,1,1,1,0,0,0,1,1,1,1
g301.t1,1,1,0,1,0,0,1,1,0,1
g302.t1,1,1,1,1,0,0,1,1,0,1
g303.t1,1,1,1,1,1,0,1,1,1,1
g304.t1,1,1,1,1,0,0,1,1,1,1
g305.t1,1,1,1,1,0,0,1,1,0,1
g306.t1,1,1,1,1,0,0,1,1,0,1
g307.t1,1,1,1,1,0,0,1,1,0,1
g308.t1,1,1,1,1,0,0,1,1,1,1
g309.t1,1,1,1,1,0,0,1,1,1,1
g310.t1,1,1,1,1,0,0,1,1,0,1
g311.t1,1,1,1,1,0,0,1,1,0,1
g312.t1,1,1,1,0,0,1,1,1,0,1
g313.t1,1,1,1,1,0,0,1,1,1,1
g314.t1,1,1,1,1,0,0,1,1,1,1
g315.t1,1,1,1,0,0,0,1,1,0,1
g316.t1,1,1,1,1,0,0,1,1,0,1
g317.t1,1,1,1,1,0,0,1,0,1,1
g318.t1,1,1,1,1,1,0,1,1,0,1
g319.t1,1,1,1,0,0,0,1,1,1,1
g320.t1,1,1,1,1,0,0,1,1,0,1
g321.t1,1,1,1,1,0,0,1,1,0,1
g322.t1,1,1,1,0,0,0,1,1,0,1
g323.t1,1,1,1,1,1,1,1,1,1,1
g324.t1,1,1,1,1,0,0,1,1,0,1
g325.t1,1,1,1,1,0,0,1,1,0,1
g326.t1,1,1,1,1,0,0,1,1,1,1
g327.t1,1,1,1,0,0,1,1,1,1,1
g328.t1,1,1,1,1,0,0,1,1,0,1
g329.t1,1,1,1,1,0,0,1,1,0,1
g330.t1,1,1,1,1,0,0,1,1,0,1
g331.t1,1,1,1,0,0,0,1,0,0,1
g332.t1,1,1,1,1,0,0,1,1,0,1
g333.t1,0,0,0,0,0,0,1,1,1,1
g334.t1,1,1,1,1,0,0,1,1,1,1
g335.t1,1,1,1,0,0,1,1,1,0,1
g336.t1,1,1,1,1,0,0,1,1,0,1
g337.t1,1,1,1,0,0,0,1,1,1,1
g338.t1,1,1,1,1,1,0,1,1,0,1
g339.t1,1,1,1,1,0,0,1,1,0,1
g340.t1,1,1,1,1,0,0,1,1,1,1
g341.t1,0,0,0,1,0,0,1,1,1,1
g342.t1,1,1,1,1,0,0,0,1,1,1
g343.t1,1,1,1,0,0,0,1,1,0,1
g344.t1,1,1,1,1,0,0,1,1,1,1
g345.t1,1,1,1,1,0,1,1,1,0,1
g346.t1,1,1,1,0,0,1,1,1,1,1
g347.t1,1,1,1,0,0,0,1,1,0,1
g348.t1,1,1,1,1,0,0,1,1,0,1
g349.t1,1,1,1,1,0,1,1,1,1,1
g350.t1,1,1,1,1,0,1,1,1,1,1
g351.t1,1,1,1,0,0,0,1,1,0,1
g352.t1,0,0,0,1,0,0,1,1,1,1
g353.t1,0,0,0,1,0,0,1,1,0,1
g354.t1,1,1,1,1,0,1,1,1,0,1
g355.t1,1,1,1,1,0,0,1,1,1,1
g356.t1,1,1,1,1,0,0,1,1,1,1
g357.t1,1,1,1,0,0,0,1,1,0,1
g358.t1,1,1,1,1,0,0,1,1,1,1
g359.t1,1,1,1,1,0,1,1,1,1,1
g360.t1,1,1,1,1,0,0,0,1,1,1
g361.t1,1,1,1,1,0,1,1,1,1,1
g362.t1,1,1,1,1,0,0,1,1,1,1
g363.t1,1,1,1,0,0,0,0,1,1,1
g364.t1,1,1,1,1,0,0,1,1,0,1
g365.t1,1,1,1,0,0,0,1,1,0,1
g366.t1,1,1,1,1,0,0,1,1,1,1
g367.t1,1,1,1,1,0,0,1,1,1,1
g368.t1,1,1,1,1,1,0,1,1,0,1
g369.t1,1,1,1,1,0,0,1,1,0,1
g370.t1,0,0,0,1,0,0,1,1,1,1
g371.t1,1,1,1,1,0,0,1,1,0,1
g372.t1,1,1,1,1,0,1,1,1,1,1
g373.t1,1,0,0,1,0,1,1,1,1,1
g374.t1,1,0,0,1,0,0,1,1,1,1
g375.t1,1,1,1,1,0,0,1,1,0,1
g376.t1,1,1,1,0,0,0,1,1,0,1
g377.t1,1,1,1,1,0,0,1,1,0,1
g378.t1,1,0,0,1,0,0,1,1,0,1
g379.t1,1,1,1,0,0,0,1,1,1,1
g380.t1,1,1,1,0,0,0,1,1,0,1
g381.t1,1,1,1,1,0,0,1,1,1,1
g382.t1,1,1,1,1,0,0,1,1,1,1
g383.t1,1,1,1,0,0,0,1,1,1,1
g384.t1,1,1,1,1,0,0,1,1,0,1
g385.t1,1,1,1,1,1,0,1,1,0,1
g386.t1,0,0,0,1,0,1,1,1,1,1
g387.t1,0,0,0,1,0,1,1,1,1,1
g388.t1,1,1,1,1,0,0,1,1,0,1
g389.t1,0,0,0,1,0,1,1,1,0,1
g390.t1,1,1,1,1,0,0,1,1,1,1
g391.t1,0,0,0,1,0,0,1,1,0,1
g392.t1,1,1,1,1,0,0,1,1,0,1
g393.t1,1,1,0,1,0,1,1,1,1,1
g394.t1,1,1,1,1,0,1,1,1,1,1
g395.t1,1,1,1,0,0,0,1,1,0,1
g396.t1,1,1,1,1,0,0,1,1,0,1
g397.t1,1,1,1,0,0,0,1,1,1,1
g398.t1,1,1,1,1,1,0,1,1,0,1
g399.t1,1,1,1,1,0,1,1,1,0,1
g400.t1,1,1,1,1,0,0,1,1,1,1
g401.t1,0,0,0,1,0,0,1,1,1,1
g402.t1,1,1,1,1,0,1,1,1,1,1
g403.t1,1,1,1,1,0,0,1,1,0,1
g404.t1,1,1,1,1,1,0,1,1,0,1
g405.t1,1,1,1,1,0,0,1,1,0,1
g406.t1,1,1,1,1,0,0,1,1,0,1
g407.t1,1,0,0,1,0,0,1,1,1,1
g408.t1,1,1,1,0,0,0,1,1,0,1
g409.t1,1,1,1,1,0,0,1,1,1,1
g410.t1,1,1,1,0,0,0,1,1,1,1
g411.t1,1,1,0,1,0,0,1,1,1,1
g412.t1,1,1,1,1,0,0,1,1,1,1
g413.t1,1,1,1,0,0,0,1,1,0,1
g414.t1,1,1,1,0,0,0,1,1,0,1
g415.t1,0,0,0,1,0,1,1,1,0,1
g416.t1,1,1,1,1,0,0,1,1,0,1
g417.t1,1,1,1,1,0,0,1,1,1,1
g418.t1,1,1,1,1,0,0,1,1,1,1
g419.t1,1,0,0,1,0,1,1,1,1,1
g420.t1,1,1,1,1,0,0,1,1,0,1
g421.t1,0,0,0,1,0,1,1,1,1,1
g422.t1,0,0,0,1,0,0,1,1,0,1
g423.t1,1,1,1,1,0,0,1,1,0,1
g424.t1,0,0,0,1,0,1,1,1,1,1
g425.t1,1,1,1,0,0,0,1,1,0,1
g426.t1,1,1,1,0,0,0,1,1,0,1
g427.t1,1,1,1,1,0,1,1,1,0,1
g428.t1,1,1,1,1,0,0,1,1,1,1
g429.t1,1,1,1,1,0,0,1,1,0,1
g430.t1,1,1,1,1,0,0,1,1,0,1
g431.t1,1,1,1,1,0,0,1,1,1,1
g432.t1,1,1,1,1,0,0,1,1,0,1
g433.t1,0,0,0,0,0,1,1,1,0,1
g434.t1,1,1,1,0,0,0,1,1,0,1
g435.t1,1,1,1,1,0,0,1,1,0,1
g436.t1,1,1,1,1,0,0,1,1,1,1
g437.t1,1,1,1,1,0,0,1,1,0,1
g438.t1,0,0,0,1,0,1,1,1,0,1
g439.t1,0,0,0,1,0,1,1,1,1,1
g440.t1,1,1,1,0,0,0,1,0,0,1
g441.t1,1,1,1,1,1,1,1,1,0,1
g442.t1,1,1,1,1,1,0,1,1,0,1
g443.t1,1,1,1,1,0,0,1,1,1,1
g444.t1,0,0,0,1,0,1,1,1,1,1
g445.t1,1,1,1,1,0,1,1,1,1,1
g446.t1,1,1,1,1,0,1,1,1,1,1
g447.t1,1,1,1,1,0,1,1,1,0,1
g448.t1,1,1,1,1,0,0,1,1,0,1
g449.t1,1,1,1,0,0,0,1,1,1,1
g450.t1,0,0,0,0,0,1,1,1,0,1
g451.t1,1,1,1,0,0,0,1,1,0,1
g452.t1,1,1,1,0,0,0,1,1,1,1
g453.t1,1,1,1,0,0,0,1,1,1,1
g454.t1,1,1,0,1,0,1,1,1,0,0
g455.t1,0,0,0,1,0,0,1,1,1,1
g456.t1,1,1,1,1,0,1,1,1,1,1
g457.t1,1,1,1,1,0,0,1,1,1,1
g458.t1,1,1,1,0,0,0,1,1,1,1
g459.t1,0,0,0,1,0,1,1,1,1,1
g460.t1,1,1,1,1,0,0,1,1,1,1
g461.t1,1,1,1,1,0,0,1,1,0,1
g462.t1,1,1,1,1,0,0,1,1,0,1
g463.t1,1,0,0,0,0,1,1,1,1,1
g464.t1,0,0,0,1,0,0,1,1,1,1
g465.t1,0,0,0,1,0,0,1,1,0,1
g466.t1,1,1,1,1,0,1,1,1,0,1
g467.t1,1,1,1,0,0,0,1,1,1,1
g468.t1,1,1,1,1,1,0,1,1,0,1
g469.t1,1,1,1,1,0,0,1,1,0,1
g470.t1,1,1,1,1,0,0,1,1,0,1
g471.t1,0,0,0,1,0,1,1,1,1,1
g472.t1,1,1,1,1,0,0,1,1,0,1
g473.t1,1,1,1,1,0,0,1,1,0,1
g474.t1,1,1,1,1,0,0,1,1,1,1
g475.t1,0,0,0,1,0,0,1,1,0,1
g476.t1,1,1,1,1,0,1,1,1,0,1
g477.t1,1,1,1,1,0,0,1,1,0,1
g478.t1,1,1,1,1,0,0,1,1,1,1
g479.t1,1,1,1,1,0,0,1,1,0,1
g480.t1,1,1,1,1,0,0,1,1,0,1
g481.t1,1,1,1,1,0,0,1,1,1,1
g482.t1,1,1,1,1,0,0,1,1,0,1
